"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2017,28263227,22,28287684
2017,28263293,3,28287751
2017,28263841,1,28288300
2017,28264273,1,28288732
2017,28264503,1,28288962
2017,28264420,1,28288878
2017,28264531,1,28288990
2017,28264605,1,28289065
2017,28264671,1,28289130
2017,28264674,1,28289132
2017,28264978,1,28289436
2017,28265297,1,28289756
2017,28265497,1,28289956
2017,28265495,1,28289954
2017,28267438,1,28291899
2017,28267397,1,28291857
2017,28267824,1,28292287
2017,28268294,1,28292757
2017,28268358,1,28292820
2017,28268719,1,28293183
2017,28269204,1,28293669
2017,28023653,1,28047777
2017,28023717,1,28047841
2017,28023961,1,28048082
2017,28024064,1,28048189
2017,28024090,1,28048214
2017,28024779,1,28048903
2017,28025466,1,28049591
2017,28025555,1,28049679
2017,28026227,1,28050351
2017,28026228,1,28050352
2017,28026579,8,28050703
2017,28026613,1,28050738
2017,28026893,1,28051017
2017,28027566,1,28051692
2017,28027958,1,28052083
2017,28028561,1,28052685
2017,28029673,1,28053792
2017,28029712,1,28053836
2017,28030331,1,28054456
2017,28030504,3,28054629
2017,28031274,1,28055400
2017,28031386,1,28055512
2017,28031489,1,28055615
2017,28031853,1,28055977
2017,28032192,1,28056319
2017,28032309,1,28056436
2017,28032896,1,28057025
2017,28033344,1,28057473
2017,28034672,1,28058801
2017,28034692,7,28058821
2017,28034909,1,28059038
2017,28035272,8,28059401
2017,28035541,1,28059669
2017,28036234,1,28060362
2017,28036243,1,28060371
2017,28036246,1,28060377
2017,28036604,1,28060731
2017,28036641,1,28060771
2017,28037382,1,28061511
2017,28037387,1,28061516
2017,28037813,1,28061942
2017,28037812,1,28061940
2017,28259914,1,28284368
2017,28260451,1,28284906
2017,28260884,1,28285339
2017,28261217,1,28285673
2017,28261268,4,28285724
2017,28261918,1,28286375
2017,28262104,1,28286561
2017,28262144,1,28286599
2017,28262352,7,28286809
2017,28262430,1,28286887
2017,28262427,1,28286885
2017,28262865,1,28287322
2017,28262863,1,28287320
2017,28263404,1,28287861
2017,28263929,1,28288388
2017,28264604,1,28289062
2017,28264665,1,28289123
2017,28264695,7,28289154
2017,28264775,1,28289232
2017,28265102,1,28289560
2017,28265283,1,28289742
2017,28265439,1,28289898
2017,28265465,1,28289924
2017,28265467,1,28289928
2017,28023074,1,28047198
2017,28023090,1,28047214
2017,28023516,1,28047641
2017,28023654,1,28047779
2017,28023773,1,28047897
2017,28023927,1,28048049
2017,28024026,1,28048150
2017,28024239,1,28048363
2017,28024237,1,28048361
2017,28024269,1,28048391
2017,28024262,1,28048387
2017,28024266,1,28048390
2017,28025069,1,28049193
2017,28025464,7,28049588
2017,28025876,1,28050000
2017,28026013,1,28050136
2017,28026010,1,28050134
2017,28026040,1,28050164
2017,28026289,1,28050413
2017,28026288,1,28050412
2017,28026356,1,28050480
2017,28026405,1,28050528
2017,28027247,1,28051372
2017,28027355,1,28051479
2017,28027483,1,28051607
2017,28027486,1,28051610
2017,28027485,1,28051609
2017,28027614,1,28051736
2017,28028452,1,28052577
2017,28028451,1,28052576
2017,28028599,1,28052724
2017,28028999,1,28053124
2017,28029001,1,28053125
2017,28031187,1,28055314
2017,28031297,1,28055423
2017,28031481,1,28055607
2017,28031708,1,28055835
2017,28031757,1,28055884
2017,28031754,1,28055882
2017,28032019,1,28056146
2017,28032806,1,28056935
2017,28032978,1,28057106
2017,28033189,1,28057318
2017,28033187,1,28057316
2017,28033359,1,28057487
2017,28034023,1,28058153
2017,28034025,1,28058154
2017,28034027,1,28058156
2017,28035230,7,28059359
2017,28035934,1,28060067
2017,28036102,1,28060231
2017,28036209,1,28060335
2017,28036866,1,28060995
2017,28037537,1,28061664
2017,28037819,1,28061948
2017,28038448,1,28062578
2017,28023020,1,28047144
2017,28023017,1,28047142
2017,28023344,1,28047469
2017,28023969,1,28048093
2017,28024087,1,28048212
2017,28024195,1,28048319
2017,28024435,1,28048561
2017,28025459,1,28049583
2017,28025460,1,28049584
2017,28025483,1,28049607
2017,28026066,1,28050191
2017,28026083,1,28050208
2017,28026087,1,28050211
2017,28026089,1,28050213
2017,28026105,1,28050229
2017,28026103,1,28050227
2017,28026586,1,28050710
2017,28026612,1,28050736
2017,28026624,1,28050748
2017,28027528,7,28051652
2017,28028538,1,28052664
2017,28029074,1,28053199
2017,28029677,1,28053803
2017,28030157,3,28054281
2017,28030791,1,28054916
2017,28031731,1,28055858
2017,28031802,1,28055930
2017,28032006,1,28056133
2017,28032016,1,28056143
2017,28032304,1,28056432
2017,28032552,1,28056682
2017,28035428,1,28059558
2017,28035894,1,28060025
2017,28036139,1,28060268
2017,28036652,1,28060783
2017,28036657,1,28060787
2017,28036737,1,28060867
2017,28038005,1,28062134
2017,28038286,1,28062416
2017,28038409,1,28062538
2017,28038406,1,28062535
2017,28038401,1,28062530
2017,28038464,1,28062593
2017,28023359,1,28047482
2017,28023504,1,28047628
2017,28023521,1,28047648
2017,28023609,1,28047734
2017,28023607,1,28047732
2017,28023714,1,28047838
2017,28026053,1,28050177
2017,28026048,1,28050166
2017,28026049,1,28050173
2017,26401743,1,26421845
2017,26404321,1,26424424
2017,26404381,1,26424484
2017,26404497,1,26424602
2017,26405582,1,26425687
2017,26405702,1,26425807
2017,26405803,1,26425909
2017,26407868,1,26427975
2017,26408597,1,26428705
2017,27789360,1,27813177
2017,27789553,1,27813369
2017,27790027,1,27813843
2017,27790058,1,27813874
2017,27790186,1,27814002
