"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2017,101291838,114963230
2017,101291843,114963230
2017,101292575,114963987
2017,101292654,114964059
2017,101292895,114964305
2017,101292952,114964360
2017,101292952,114964353
2017,101292952,114964351
2017,101292983,114964396
2017,101293122,114964532
2017,101293122,114964530
2017,101293292,114964692
2017,101293292,114964687
2017,101293688,114965088
2017,101293933,114965352
2017,101294293,114965704
2017,101294330,114965745
2017,101294366,114965780
2017,101294495,114965901
2017,101294715,114966124
2017,101294834,114966248
2017,101295316,114966769
2017,101295750,114967190
2017,101295797,114967220
2017,101295791,114967220
2017,101295785,114967220
2017,101295987,114967432
2017,101296145,114967566
2017,101296145,114967563
2017,101296317,114967732
2017,101296317,114967735
2017,101296461,114967888
2017,101296755,114968186
2017,101296814,114968249
2017,101296910,114968357
2017,101296916,114968357
2017,101296969,114968399
2017,101296974,114968399
2017,101296961,114968405
2017,101297143,114968590
2017,101297250,114968693
2017,101297325,114968762
2017,101297326,114968762
2017,101297401,114968833
2017,101297542,114968987
2017,101297551,114968995
2017,101297756,114969198
2017,101297766,114969207
2017,101297814,114969252
2017,101297912,114969363
2017,101297912,114969361
2017,101298026,114969491
2017,101298282,114969758
2017,101298282,114969761
2017,101298383,114969890
2017,101298487,114969997
2017,101298503,114970019
2017,101298568,114970083
2017,101298727,114970251
2017,101298928,114970462
2017,101298930,114970461
2017,101298956,114970474
2017,101299014,114970551
2017,101299033,114970580
2017,101299042,114970574
2017,101299042,114970576
2017,101299074,114970617
2017,101300042,114971578
2017,101300456,114972007
2017,101300629,114972179
2017,101301055,114972615
2017,101301052,114972611
2017,101301378,114972953
2017,101301586,114973159
2017,101301663,114973243
2017,101301732,114973314
2017,101301773,114973354
2017,101301869,114973449
2017,101301869,114973450
2017,101302137,114973727
2017,101302172,114973764
2017,101302206,114973811
2017,101302273,114973883
2017,101302283,114973894
2017,101302380,114973976
2017,101302556,114974156
2017,101302556,114974150
2017,101302750,114974354
2017,101302833,114974442
2017,101302955,114974565
2017,101302958,114974565
2017,101302974,114974586
2017,101302982,114974598
2017,101303035,114974653
2017,101303197,114974792
2017,101303224,114974824
2017,101303228,114974824
2017,101303374,114974956
2017,101303361,114974956
2017,101303430,114975020
2017,101304054,114975640
2017,101304355,114975949
2017,101304524,114976112
2017,101304685,114976271
2017,101304691,114976271
2017,101305235,114976845
2017,101305335,114976951
2017,101305547,114977171
2017,101305547,114977168
2017,101305603,114977224
2017,101305731,114977351
2017,101305739,114977351
2017,101305727,114977351
2017,101305727,114977348
2017,101305733,114977351
2017,101305880,114977508
2017,101305881,114977510
2017,101305881,114977521
2017,101305880,114977510
2017,101305981,114977617
2017,101306091,114977727
2017,101306181,114977807
2017,101306307,114977939
2017,101306371,114978001
2017,101306697,114978327
2017,101306726,114978353
2017,101306750,114978370
2017,101307220,114978830
2017,101307226,114978827
2017,101307258,114978861
2017,101307377,114978985
2017,101307672,114979285
2017,101307913,114979528
2017,101307968,114979561
2017,101308492,114980120
2017,101308531,114980161
2017,101308660,114980290
2017,101308993,114980642
2017,101309083,114980732
2017,101309107,114980753
2017,101309107,114980750
2017,101309621,114981275
2017,101309686,114981345
2017,101309713,114981370
2017,101309930,114981590
2017,101309995,114981661
2017,101310018,114981687
2017,101310203,114981878
2017,101310337,114982013
2017,100757089,114428137
2017,100757106,114428161
2017,100757399,114428453
2017,100757661,114428716
2017,100757752,114428811
2017,100757752,114428806
2017,100757858,114428917
2017,100758063,114429134
2017,100758126,114429188
2017,100758463,114429544
2017,100759335,114430426
2017,100759598,114430705
2017,100759598,114430707
2017,100759629,114430731
2017,100759692,114430794
2017,100759821,114430922
2017,100759990,114431080
2017,100760110,114431194
2017,100760110,114431188
2017,100760317,114431408
2017,100760860,114431934
2017,100761077,114432133
2017,100761135,114432189
2017,100761238,114432284
2017,100761279,114432319
2017,100761415,114432437
2017,100762341,114433336
2017,100762475,114433477
2017,100762561,114433544
2017,100762561,114433541
2017,100762564,114433537
2017,100762619,114433614
2017,100762637,114433632
2017,100763035,114434000
2017,100763091,114434038
2017,100763349,114434281
2017,100763689,114434623
2017,100763733,114434675
2017,100763823,114434752
2017,100763823,114434755
2017,100763949,114434885
2017,100764079,114435020
2017,100764255,114435186
2017,100764930,114435837
2017,100765089,114435991
2017,100765149,114436046
2017,100765379,114436271
2017,100765424,114436322
2017,100765657,114436537
2017,100765677,114436553
2017,99925521,113596753
2017,99926189,113597419
2017,99926336,113597551
2017,99926404,113597618
2017,99926404,113597620
2017,99927718,113598905
2017,99928425,113599605
2017,99928471,113599650
2017,99928502,113599674
2017,99928548,113599699
2017,99487661,113153862
2017,99451589,113116951
2017,99451649,113117004
2017,99451749,113117111
2017,99451746,113117117
2017,99451970,113117296
2017,99452002,113117354
2017,99452449,113117800
2017,99452336,113117687
2017,99452585,113117941
2017,99452945,113118300
2017,99452945,113118289
2017,99453121,113118504
2017,99453193,113118547
2017,99453196,113118549
2017,99453196,113118547
2017,99453193,113118549
2017,99453210,113118589
2017,99453474,113118840
2017,99453474,113118849
2017,99453533,113118908
2017,99453955,113119342
2017,99453962,113119354
