"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7795822,15259,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OK0621600_NIBRS",15628541,0
2017,7813972,15259,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OK0621600_NIBRS",16832851,0
2017,7836694,15259,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0621600_NIBRS",16832872,0
2017,7882434,15259,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OK0621600_NIBRS",20175345,0
2017,7927277,15259,12,2017,"Z",01-DEC-12,"Y","F","C","2017_12_OK0621600_NIBRS",18099783,0
2017,7926419,27376,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OK051229E_NIBRS",22267432,0
2017,7610603,25924,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OKOHP1200_NIBRS",22299335,0
2017,7639806,25924,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OKOHP1200_NIBRS",14071945,0
2017,7662902,25924,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OKOHP1200_NIBRS",21559973,0
2017,7691124,25924,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OKOHP1200_NIBRS",20193644,0
2017,7716769,25924,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OKOHP1200_NIBRS",16855779,0
2017,7744184,25924,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OKOHP1200_NIBRS",21560074,0
2017,7778741,25924,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OKOHP1200_NIBRS",19470714,0
2017,7795956,25924,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OKOHP1200_NIBRS",21560203,0
2017,7814569,25924,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OKOHP1200_NIBRS",25566006,0
2017,7838211,25924,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OKOHP1200_NIBRS",20193840,0
2017,7883352,25924,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OKOHP1200_NIBRS",20193898,0
