"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2017,21,116332651
2017,21,116332652
2017,21,116332678
2017,21,116332692
2017,21,117554890
2017,21,117554905
2017,21,117554960
2017,21,116333017
2017,21,116333122
2017,21,116333140
2017,21,116333204
2017,21,116333221
2017,21,116333235
2017,21,116333245
2017,21,116333257
2017,21,116333334
2017,21,116333344
2017,21,116333342
2017,21,116333355
2017,21,116333364
2017,21,116333492
2017,21,116333482
2017,21,116333508
2017,21,116333505
2017,21,117555080
2017,21,116333741
2017,21,116333753
2017,21,116333816
2017,21,116333879
2017,21,116333926
2017,21,116333973
2017,21,116333976
2017,21,117555213
2017,21,117555214
2017,21,116764236
2017,21,116334228
2017,21,116334255
2017,21,116334274
2017,21,116334271
2017,21,116334308
2017,21,116334330
2017,21,116334472
2017,21,116334597
2017,21,116334645
2017,21,116334699
2017,21,116334746
2017,21,116334827
2017,21,116764479
2017,21,116764561
2017,21,116335733
2017,21,116335729
2017,21,116335744
2017,21,116335751
2017,21,116335813
2017,9,116335904
2017,21,116335892
2017,21,116335903
2017,21,116335999
2017,21,116336044
2017,21,116336186
2017,21,116764638
2017,21,116336324
2017,21,116336327
2017,21,116336439
2017,21,116336558
2017,21,116764763
2017,21,116764781
2017,21,116336915
2017,21,116764887
2017,21,116336998
2017,21,116336982
2017,21,116765134
2017,21,116765178
2017,21,116765399
2017,21,116337243
2017,21,116337242
2017,21,116765419
2017,21,116337308
2017,21,116337290
2017,21,116337286
2017,21,116765485
2017,21,116337412
2017,21,116337424
2017,21,116337458
2017,21,116765502
2017,21,116765524
2017,21,116337576
2017,21,116337591
2017,21,116337711
2017,21,116337716
2017,21,116337770
2017,21,116765519
2017,21,116337907
2017,21,116765584
2017,21,116765622
2017,21,116338115
2017,22,116338128
2017,21,116765653
2017,21,116765717
2017,21,116338235
2017,21,116338257
2017,21,116338322
2017,21,116338426
2017,21,116338428
2017,21,116338439
2017,21,116338468
2017,21,116338475
2017,21,116765879
2017,21,116338584
2017,21,116766018
2017,21,116766022
2017,21,116338686
2017,21,116338710
2017,21,116338719
2017,21,116338718
2017,21,116338798
2017,21,116338810
2017,21,116338807
2017,21,116338941
2017,21,116338973
2017,21,116339124
2017,21,116339121
2017,21,116339117
2017,21,116339186
2017,21,116339181
2017,21,116339179
2017,21,116339178
2017,21,116339204
2017,21,116766642
2017,21,116766643
2017,21,116339330
2017,21,116339326
2017,21,116766641
2017,21,116339557
2017,21,116766715
2017,21,116339574
2017,21,116339583
2017,21,116339702
2017,21,116339711
2017,21,116339745
2017,21,116339819
2017,21,116339826
2017,21,116339851
2017,21,116339857
2017,21,116339861
2017,21,116339871
2017,21,116339872
2017,21,116766783
2017,21,116766799
2017,21,116339919
2017,21,116339922
2017,21,116766947
2017,21,116767093
2017,21,116767456
2017,21,116340226
2017,21,116340227
2017,21,116340252
2017,21,116340241
2017,21,116340274
2017,21,116340312
2017,21,116340316
2017,21,116340357
2017,21,116767623
2017,21,116767784
2017,21,116340469
2017,21,116340440
2017,21,116340437
2017,21,116767844
2017,21,116340575
2017,21,116340603
2017,21,116340600
2017,21,116340599
2017,21,116340598
2017,21,116767906
2017,21,116340691
2017,21,116340743
2017,21,116340739
2017,21,116340752
2017,21,116340753
2017,21,116340759
2017,21,116340768
2017,21,116340844
2017,21,116340853
2017,21,116340859
2017,21,116340870
2017,21,116340888
2017,21,116340904
2017,21,116340903
2017,21,116340944
2017,21,116341001
2017,21,116341017
2017,21,116341030
2017,21,116341103
2017,21,116341087
2017,21,116341134
2017,21,116341143
2017,21,116341142
2017,21,116341148
2017,21,116341176
2017,21,116341181
2017,21,116341198
2017,21,116341222
2017,21,116341230
2017,21,116341244
2017,21,116341256
2017,21,116768094
2017,21,116768166
2017,21,116768225
2017,21,116768233
2017,21,116341433
2017,21,116341472
2017,21,116341502
2017,21,116341619
2017,21,116768284
2017,21,116341676
2017,21,116341745
2017,21,116341790
2017,21,116341802
2017,21,116341826
2017,21,116341825
2017,21,116341829
2017,21,116342151
2017,21,116342166
2017,21,116342160
2017,21,116342423
2017,21,116342510
2017,21,116342586
2017,21,116342591
2017,21,116342654
2017,21,116342655
2017,21,116342694
2017,21,116342725
2017,21,116342792
2017,21,116342808
2017,21,116342875
2017,21,116342980
2017,21,116343038
2017,21,116343065
2017,21,116343104
2017,21,116343139
2017,21,116343144
2017,21,116343159
2017,21,116343177
2017,21,116343195
2017,21,116343246
2017,21,116343272
2017,21,116343306
2017,21,116343329
2017,21,116343378
2017,21,116343380
2017,21,116343397
2017,21,116343410
2017,21,116343418
2017,21,116343423
2017,21,116343426
2017,21,116343452
2017,21,116343477
2017,21,116343457
2017,21,116343458
2017,21,116343488
2017,21,116343542
2017,21,116343534
2017,21,116343549
2017,21,116343562
2017,21,116343563
2017,21,116343647
2017,21,116343644
2017,21,116343646
2017,21,116343689
2017,21,116343731
2017,21,116343741
2017,21,116343759
2017,21,116343764
2017,21,116343767
2017,21,116343834
2017,21,116343866
2017,21,116343887
2017,21,116343883
2017,21,116343933
2017,21,116344111
2017,21,116344176
2017,21,116344189
2017,21,116344195
2017,21,116344535
2017,21,116344585
2017,21,116344713
2017,21,116344712
2017,21,116344779
2017,21,116344907
2017,21,116345114
2017,21,116345126
2017,21,116345276
2017,21,116345282
2017,21,116345304
2017,21,116345354
2017,21,116345372
2017,21,116345417
2017,21,116345401
2017,21,116345399
2017,21,116345443
2017,21,116345526
2017,21,116345535
2017,21,116345538
2017,21,116345565
2017,21,116345592
2017,21,116345601
2017,21,116345650
2017,21,116345644
2017,21,116345744
2017,21,116345745
2017,21,116345796
2017,21,116346022
2017,21,116346059
2017,21,116346066
2017,21,116346074
2017,21,116346102
2017,21,116346124
2017,21,116346138
2017,21,116346154
2017,21,116346188
2017,21,116346275
2017,21,116346298
2017,21,116346283
2017,21,116346394
2017,21,116346410
2017,21,116346636
2017,21,116346793
2017,21,116346810
2017,21,116346985
2017,21,116347059
2017,21,116347064
2017,21,116347066
2017,21,116347055
2017,21,116347243
2017,21,116347244
2017,21,116347252
2017,21,116347429
2017,21,116347430
2017,21,116347466
