"year","state_id","state_abbr","state_name","population","violent_crime","homicide","rape_legacy","rape_revised","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","caveats"
1997,49,"UT","Utah",2059000,6878,50,977,,1408,4443,116569,18335,89090,9144,""
1998,49,"UT","Utah",2100000,6599,65,875,,1385,4274,109025,17070,84255,7700,""
1999,49,"UT","Utah",2129836,5869,44,806,,1158,3861,100130,14592,78156,7382,""
2000,49,"UT","Utah",2233169,5711,43,863,,1242,3563,94247,14348,73438,6461,""
2001,49,"UT","Utah",2278712,5314,67,896,,1197,3154,90993,13804,70676,6513,""
2002,49,"UT","Utah",2318789,5488,47,943,,1140,3358,97641,15124,74795,7722,""
2003,49,"UT","Utah",2352119,5889,60,919,,1258,3652,100084,16961,75321,7802,""
2004,49,"UT","Utah",2420708,5647,46,967,,1236,3398,97762,15225,74889,7648,""
2005,49,"UT","Utah",2490334,5612,56,920,,1095,3541,95546,14971,72082,8493,""
2006,49,"UT","Utah",2550063,5771,51,891,,1242,3587,89572,14721,66480,8371,""
2007,49,"UT","Utah",2645330,6347,59,935,,1425,3928,93082,15594,68573,8915,""
2008,49,"UT","Utah",2736424,6165,41,915,,1421,3788,92373,14766,70299,7308,""
2009,49,"UT","Utah",2784572,5998,39,941,,1304,3714,91751,15258,69556,6937,""
2010,49,"UT","Utah",2775479,5925,53,983,,1269,3620,88316,15095,67242,5979,""
2011,49,"UT","Utah",2814347,5547,50,901,,1079,3517,84084,13170,64727,6187,""
2012,49,"UT","Utah",2854871,5939,52,975,,1105,3807,86284,13095,67157,6032,""
2013,49,"UT","Utah",2902787,6644,51,926,1522,1247,3824,88334,13727,67115,7492,""
2014,49,"UT","Utah",2944498,6464,66,1114,1547,1313,3538,85473,11656,66487,7330,""
2015,49,"UT","Utah",2990632,7138,57,1247,1704,1329,4048,89797,12606,68464,8727,""
2016,49,"UT","Utah",3044321,7406,74,1520,1560,1528,4244,90561,12938,68261,9362,""
2017,49,"UT","Utah",3101833,7410,73,0,1697,1468,4172,86238,11817,64892,9529,""
1995,51,"VA","Virginia",6618000,23921,503,1799,,8718,12901,240084,39388,181333,19363,""
1996,51,"VA","Virginia",6675000,22782,500,1783,,8181,12318,242100,39255,184237,18608,""
1997,51,"VA","Virginia",6734000,23249,488,1819,,8384,12558,237773,38475,180406,18892,""
1998,51,"VA","Virginia",6791000,22115,422,1810,,7171,12712,226461,38094,170012,18355,""
1999,51,"VA","Virginia",6872912,21626,392,1720,,6947,12567,210260,32411,159896,17953,""
2000,51,"VA","Virginia",7078515,19943,401,1616,,6295,11631,194405,30434,146158,17813,""
2001,51,"VA","Virginia",7196750,20939,364,1770,,6860,11945,207506,31604,157060,18842,""
2002,51,"VA","Virginia",7287829,21256,388,1839,,6961,12068,207783,31757,157548,18478,""
2003,51,"VA","Virginia",7365284,20490,416,1807,,6713,11554,200449,29105,153367,17977,""
2004,51,"VA","Virginia",7481332,20608,390,1816,,6899,11503,200368,28759,154154,17455,""
2005,51,"VA","Virginia",7564327,21434,458,1763,,7495,11718,200404,29829,154584,15991,""
2006,51,"VA","Virginia",7642884,21683,403,1829,,7779,11672,190257,32166,143292,14799,""
2007,51,"VA","Virginia",7712091,21035,415,1793,,7696,11131,191763,32028,145634,14101,""
2008,51,"VA","Virginia",7769089,20031,370,1794,,7470,10397,196726,32188,151191,13347,""
2009,51,"VA","Virginia",7882590,18195,370,1572,,6342,9911,194020,31956,150374,11690,""
2010,51,"VA","Virginia",8023953,17184,376,1580,,5678,9550,187403,30804,145990,10609,""
2011,51,"VA","Virginia",8104384,16014,304,1591,,5425,8694,182902,30656,142476,9770,""
2012,51,"VA","Virginia",8186628,15676,322,1505,,4718,9131,178434,29651,139654,9129,""
2013,51,"VA","Virginia",8270345,16355,320,1476,2350,4574,9111,171558,26717,136215,8626,""
2014,51,"VA","Virginia",8328098,16522,350,1687,2416,4294,9462,161934,23210,131001,7723,""
2015,51,"VA","Virginia",8367587,16705,390,1767,2499,4459,9357,157803,21542,128064,8197,""
2016,51,"VA","Virginia",8414380,18495,482,2737,2830,4826,10357,157292,20159,127285,9848,""
2017,51,"VA","Virginia",8470020,17632,453,0,2862,4332,9985,151855,18468,123215,10172,""
1995,52,"VT","Vermont",585000,692,13,165,,64,450,19395,4451,14150,794,""
1996,52,"VT","Vermont",589000,714,11,159,,91,453,16973,3964,12124,885,""
1997,52,"VT","Vermont",589000,705,9,156,,79,461,15953,3611,11542,800,"The state UCR Program was unable to provide complete 1997 offense figures in accordance with UCR guidelines.  The 1996 and 1997 percent changes within the geographic division in which Vermont is categorized were applied to the valid 1996 state total to effect the 1997 state total."
1998,52,"VT","Vermont",591000,628,13,163,,56,396,17924,3966,13084,874,""
1999,52,"VT","Vermont",593740,676,17,136,,65,458,16059,3537,11610,912,""
2000,52,"VT","Vermont",608827,691,9,140,,117,425,17494,3501,13184,809,""
2001,52,"VT","Vermont",612978,644,7,107,,107,423,16334,3150,12426,758,""
2002,52,"VT","Vermont",616408,658,13,126,,77,442,14942,3489,10684,769,""
2003,52,"VT","Vermont",619343,707,15,126,,62,504,13803,3017,10132,654,""
2004,52,"VT","Vermont",621233,713,16,160,,78,459,14559,3435,10537,587,""
2005,52,"VT","Vermont",622387,782,8,153,,76,545,14749,3185,10894,670,""
2006,52,"VT","Vermont",623908,905,14,173,,114,604,14920,3443,10857,620,""
2007,52,"VT","Vermont",621254,802,13,128,,79,582,14702,3200,10853,649,""
2008,52,"VT","Vermont",621270,854,17,133,,93,611,15903,3515,11802,586,""
2009,52,"VT","Vermont",621760,837,8,132,,111,586,15010,3471,11090,449,""
2010,52,"VT","Vermont",625909,820,7,141,,76,596,14160,3348,10373,439,""
2011,52,"VT","Vermont",626592,925,11,146,,99,669,15086,3838,10720,528,""
2012,52,"VT","Vermont",625953,891,8,131,,114,638,15653,4179,11014,460,""
2013,52,"VT","Vermont",626855,775,10,113,136,75,554,13882,3352,10193,337,""
2014,52,"VT","Vermont",626767,643,10,85,117,72,444,9721,2092,7375,254,""
2015,52,"VT","Vermont",626088,747,10,104,150,105,482,9064,2034,6834,196,""
2016,52,"VT","Vermont",623354,851,14,178,170,78,589,9705,1884,7637,184,""
2017,52,"VT","Vermont",623657,1034,14,0,218,92,710,8960,1854,6912,194,""
1995,53,"WA","Washington",5431000,26300,275,3214,,7209,15602,314213,59265,224861,30087,""
1996,53,"WA","Washington",5533000,23857,255,2828,,6587,14187,303111,58512,215706,28893,""
1997,53,"WA","Washington",5610000,24724,244,2885,,6734,14864,307742,62064,213823,31855,""
1998,53,"WA","Washington",5689000,24380,224,2740,,6577,14839,309419,60446,213773,35200,""
1999,53,"WA","Washington",5756361,21716,171,2711,,5808,13026,280793,54652,192334,33807,""
2000,53,"WA","Washington",5894121,21788,196,2737,,5812,13043,279144,53476,190650,35018,""
2001,53,"WA","Washington",5993390,21258,179,2600,,5934,12545,287234,53024,195133,39077,""
2002,53,"WA","Washington",6067060,20964,184,2734,,5797,12249,288967,54948,193526,40493,""
2003,53,"WA","Washington",6131298,21272,182,2863,,5718,12509,291542,58271,192653,40618,""
2004,53,"WA","Washington",6207046,21330,190,2857,,5866,12417,300837,60632,196972,43233,""
2005,53,"WA","Washington",6291899,21745,205,2811,,5788,12941,307661,60343,198031,49287,""
2006,53,"WA","Washington",6395798,22303,197,2748,,6424,12934,288456,58843,183179,46434,""
2007,53,"WA","Washington",6468424,21768,174,2653,,6079,12862,261776,52874,170782,38120,""
2008,53,"WA","Washington",6549224,21888,193,2653,,6419,12623,249283,53136,167013,29134,""
2009,53,"WA","Washington",6664195,22412,190,2583,,6711,12928,245215,53047,168421,23747,""
2010,53,"WA","Washington",6742950,21138,154,2579,,5929,12476,249426,55192,168490,25744,""
2011,53,"WA","Washington",6823267,20152,163,2320,,5627,12042,244209,56561,162828,24820,""
2012,53,"WA","Washington",6895318,20553,217,2250,,5801,12285,254377,61376,166338,26663,""
2013,53,"WA","Washington",6973742,20223,167,2072,2604,5829,11623,259139,58487,172227,28425,""
2014,53,"WA","Washington",7063166,20185,178,1999,2780,5641,11586,261257,55381,175317,30559,""
2015,53,"WA","Washington",7160290,20505,218,2006,2778,5450,12059,249474,51114,171393,26967,""
2016,53,"WA","Washington",7280934,22101,195,3077,3133,5649,13124,254994,49249,173423,32322,""
2017,53,"WA","Washington",7405743,22548,230,0,3255,5390,13673,235027,43720,162511,28796,""
1995,54,"WI","Wisconsin",5123000,14399,219,1194,,5384,7602,184665,31416,134623,18626,""
1996,54,"WI","Wisconsin",5160000,13039,204,1086,,4982,6767,184143,30356,135941,17846,""
1997,54,"WI","Wisconsin",5170000,13988,205,1048,,5214,7521,176145,29503,131002,15640,""
1998,54,"WI","Wisconsin",5224000,13009,190,1037,,4474,7308,172084,29740,128134,14210,"The state UCR Program was unable to provide complete 1998 offense figures in accordance with UCR guidelines.  The state total was estimated by using 1997 figures for the nonreporting areas and applying 1997 versus 1998 percentage changes for the division in which Wisconsin is located.  The estimates for the nonreporting areas were then increased by any actual 1998 crime counts received."
1999,54,"WI","Wisconsin",5250446,12908,179,1055,,4449,7225,160154,25633,120702,13819,""
2000,54,"WI","Wisconsin",5363675,12700,169,1165,,4537,6829,159424,25183,119605,14636,""
2001,54,"WI","Wisconsin",5405947,12486,192,1142,,4444,6708,166924,26927,125275,14722,""
2002,54,"WI","Wisconsin",5439692,12238,154,1237,,4713,6134,164749,27926,123365,13458,""
2003,54,"WI","Wisconsin",5474290,12104,183,1202,,4397,6322,157684,26546,118775,12363,""
2004,54,"WI","Wisconsin",5503533,11548,154,1136,,4067,6191,146710,23854,111482,11374,""
2005,54,"WI","Wisconsin",5527644,13367,206,1135,,4555,7471,147556,24448,110531,12577,""
2006,54,"WI","Wisconsin",5556506,15899,165,1233,,5564,8937,156748,27038,115682,14028,""
2007,54,"WI","Wisconsin",5601640,16330,185,1227,,5480,9438,159305,27890,117957,13458,""
2008,54,"WI","Wisconsin",5627967,15507,146,1128,,5163,9070,155456,27459,116456,11541,""
2009,54,"WI","Wisconsin",5654774,14650,146,1118,,4904,8482,147692,26813,111947,8932,""
2010,54,"WI","Wisconsin",5691659,14167,155,1191,,4516,8305,142781,26636,107993,8152,""
2011,54,"WI","Wisconsin",5709843,14268,138,1190,,4600,8340,139912,27167,104472,8273,""
2012,54,"WI","Wisconsin",5724554,16254,169,1228,,4692,10165,140780,27931,104619,8230,""
2013,54,"WI","Wisconsin",5742953,16118,163,1308,1836,4834,9285,125694,24358,93946,7390,""
2014,54,"WI","Wisconsin",5759432,16763,159,1216,1677,5101,9826,120535,21375,89255,9905,""
2015,54,"WI","Wisconsin",5767891,17549,240,1324,1805,5234,10270,114171,19602,83572,10997,""
2016,54,"WI","Wisconsin",5772917,17716,232,1979,2005,4707,10772,111911,19498,82455,9958,""
2017,54,"WI","Wisconsin",5795483,18539,186,0,2139,4345,11869,104802,17599,77735,9468,""
1995,55,"WV","West Virginia",1828000,3842,89,388,,781,2584,41093,10329,27724,3040,""
1996,55,"WV","West Virginia",1826000,3836,69,358,,737,2672,41510,9979,28300,3231,""
1997,55,"WV","West Virginia",1816000,3971,75,355,,782,2759,40868,10647,26934,3287,""
1998,55,"WV","West Virginia",1811000,4503,78,339,,676,3410,41627,11110,27127,3390,""
1999,55,"WV","West Virginia",1806928,6336,79,337,,661,5259,42825,10303,28760,3762,""
2000,55,"WV","West Virginia",1808344,5723,46,331,,749,4597,41344,9890,28139,3315,""
2001,55,"WV","West Virginia",1800975,5035,40,320,,707,3968,41085,9601,28268,3216,""
2002,55,"WV","West Virginia",1804884,4221,57,328,,657,3179,41099,9677,27524,3898,""
2003,55,"WV","West Virginia",1811440,4627,73,311,,701,3542,42370,10498,28409,3463,""
2004,55,"WV","West Virginia",1812548,5110,68,346,,774,3922,46326,10994,31566,3766,""
2005,55,"WV","West Virginia",1814083,4968,82,335,,816,3735,47757,11334,32603,3820,""
2006,55,"WV","West Virginia",1818470,5113,80,404,,853,3776,47941,11579,32305,4057,""
2007,55,"WV","West Virginia",1812035,5016,65,388,,847,3716,45620,10822,31321,3477,""
2008,55,"WV","West Virginia",1814468,5006,67,389,,896,3654,45971,10840,31967,3164,""
2009,55,"WV","West Virginia",1819777,5554,84,470,,914,4086,46215,12005,31453,2757,""
2010,55,"WV","West Virginia",1854368,5586,58,362,,776,4390,41301,10778,28104,2419,""
2011,55,"WV","West Virginia",1854908,5497,87,372,,802,4236,39009,10245,26656,2108,""
2012,55,"WV","West Virginia",1856680,5943,70,415,,835,4623,44500,11466,30800,2234,""
2013,55,"WV","West Virginia",1853595,5657,62,367,700,653,4242,39929,9908,28055,1966,""
2014,55,"WV","West Virginia",1848751,5850,84,417,594,655,4517,38282,9368,26954,1960,""
2015,55,"WV","West Virginia",1841053,6397,85,493,710,783,4819,38694,9467,26984,2243,""
2016,55,"WV","West Virginia",1828637,6633,85,657,684,720,5144,37282,9127,25657,2498,""
2017,55,"WV","West Virginia",1815857,6368,85,0,795,524,4964,33630,7628,23000,3002,""
1995,56,"WY","Wyoming",480000,1220,10,165,,86,959,19517,2938,15774,805,""
1996,56,"WY","Wyoming",481000,1201,16,140,,98,947,19261,3184,15408,669,""
1997,56,"WY","Wyoming",480000,1225,17,137,,85,986,18843,2998,15198,647,""
1998,56,"WY","Wyoming",481000,1191,23,133,,78,957,17124,2696,13759,669,""
1999,56,"WY","Wyoming",479602,1115,11,137,,74,893,15468,2349,12523,596,""
2000,56,"WY","Wyoming",493782,1316,12,160,,70,1074,14969,2078,12318,573,""
2001,56,"WY","Wyoming",493754,1272,9,153,,84,1026,16120,2481,12943,696,""
2002,56,"WY","Wyoming",498830,1364,15,148,,93,1108,16494,2448,13303,743,""
2003,56,"WY","Wyoming",502111,1314,14,136,,84,1080,16648,2611,13239,798,""
2004,56,"WY","Wyoming",505887,1163,11,112,,67,973,16889,2738,13352,799,""
2005,56,"WY","Wyoming",508798,1172,14,122,,78,958,16070,2426,12905,739,""
2006,56,"WY","Wyoming",515004,1307,13,151,,72,1071,15381,2322,12255,804,""
2007,56,"WY","Wyoming",522830,1344,21,172,,84,1067,15053,2365,11875,813,""
2008,56,"WY","Wyoming",532668,1330,12,185,,87,1046,14515,2198,11584,733,""
2009,56,"WY","Wyoming",544270,1196,11,172,,78,935,14243,2176,11310,757,""
2010,56,"WY","Wyoming",564554,1117,8,162,,77,870,13869,2151,11126,592,""
2011,56,"WY","Wyoming",567356,1245,18,146,,71,1010,12878,1864,10493,521,""
2012,56,"WY","Wyoming",576626,1161,14,154,,61,932,13222,2125,10513,584,""
2013,56,"WY","Wyoming",583223,1212,17,144,204,74,917,12809,1956,10275,578,""
2014,56,"WY","Wyoming",584304,1142,16,127,174,53,899,11477,1689,9185,603,""
2015,56,"WY","Wyoming",586555,1300,16,124,171,59,1054,11151,1762,8797,592,""
2016,56,"WY","Wyoming",584910,1431,20,205,206,59,1146,11460,1771,8889,800,""
2017,56,"WY","Wyoming",579315,1376,15,0,263,76,1022,10604,1593,8232,779,""
