"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,5,97139023,1,1,8079263
2017,5,97139777,1,1,8079369
2017,15,97155441,78,9,8081439
2017,17,97157330,2,9,8081652
2017,12,98603789,2,1,8295423
2017,5,98603789,4,1,8295424
2017,5,99622018,1,1,8429869
2017,12,99623024,1,9,8429981
2017,2,99624109,1,11,8430139
2017,5,99624170,2,1,8430148
2017,12,99625217,2,9,8430378
2017,5,98603795,1,1,8295427
2017,5,98604562,1,1,8295524
2017,14,98604699,8,9,8295550
2017,12,98604699,1,1,8295551
2017,5,98604699,1,1,8295549
2017,5,98604844,10,1,8295563
2017,12,98606616,1,1,8295890
2017,13,98606616,4,9,8295889
2017,5,98607212,1,1,8295982
2017,5,98607475,7,1,8296040
2017,5,98608080,1,9,8296147
2017,5,98610555,16,1,8296448
2017,17,98613907,1,11,8296895
2017,5,98615857,1,1,8297143
2017,5,98620459,0,1,8297627
2017,5,98622629,1,1,8297888
2017,12,98622984,1,1,8297932
2017,5,98623244,1,11,8298023
2017,5,98623570,1,1,8298054
2017,12,98623698,1,11,8298061
2017,12,98625501,1,11,8298252
2017,16,98626846,7,1,8298406
2017,8,98626846,7,1,8298407
2017,8,98627469,5,9,8298487
2017,12,98629650,1,11,8298711
2017,5,98631000,0,1,8298839
2017,5,98632368,1,1,8298953
2017,5,98604460,1,1,8295510
2017,12,98604854,1,11,8295568
2017,12,98607733,0,1,8296086
2017,16,98607839,10,9,8296101
2017,5,98612557,4,1,8296702
2017,12,98612927,1,1,8296754
2017,12,98614588,1,11,8296986
2017,5,98614633,0,1,8296996
2017,14,98614658,1,9,8297002
2017,5,98616993,1,3,8297211
2017,17,98617345,3,9,8297249
2017,5,98617853,2,1,8297314
2017,12,98619750,1,9,8297508
2017,8,98624045,10,9,8298101
2017,5,98624836,1,10,8298174
2017,5,98625285,127,1,8298223
2017,12,98628368,99,1,8298571
2017,7,98628932,2,9,8298636
2017,12,98629002,6,1,8298645
2017,5,98629711,0,1,8298730
2017,12,98630756,0,1,8298817
2017,5,98630984,108,1,8298837
2017,5,98631283,13,1,8298874
2017,17,98631832,10,1,8298911
2017,5,98634350,1,11,8299278
2017,5,98634991,55,1,8299394
2017,5,98635626,1,11,8299486
2017,17,98635807,1,1,8299501
2017,5,98636790,0,1,8299601
2017,17,98636790,2,9,8299602
2017,12,98636861,5,1,8299621
2017,17,98636871,1,11,8299624
2017,12,98637115,1,1,8299683
2017,5,98637120,0,1,8299686
2017,12,99896319,2,1,8473692
2017,15,99896319,2,1,8473693
2017,12,99897073,0,1,8473787
2017,5,99898163,2,1,8473935
2017,5,98604011,50,1,8295443
2017,12,98604856,23,1,8295569
2017,12,98605018,2,1,8295616
2017,16,98605061,1,1,8295621
2017,12,98608040,1,1,8296142
2017,12,98608939,1,3,8296270
2017,17,98612715,2,9,8296717
2017,12,99899586,1,9,8474276
2017,12,98615242,1,11,8297080
2017,5,98615270,1,11,8297087
2017,12,98615341,41,1,8297094
2017,12,98616402,1,11,8297189
2017,12,98603363,1,9,8295369
2017,5,98603772,1,1,8295417
2017,5,98604053,9,1,8295444
2017,5,98604477,1,11,8295511
2017,5,98605535,1,11,8295699
2017,12,98605945,3,1,8295761
2017,12,98605945,1,8,8295760
2017,8,98606892,6,9,8295953
