"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,101517246,50,97,,107877421
2017,101517326,8,33,,107877533
2017,101517387,10,,,107877621
2017,101521717,10,,,107883313
2017,101521717,11,1,,107883314
2017,101521770,64,10000,,107883376
2017,101521766,64,500,,107883373
2017,101521783,9,0,,107883396
2017,101521783,20,400,,107883394
2017,101521783,19,400,,107883391
2017,101521834,29,45,,107883465
2017,101521973,54,700,,107883669
2017,101522219,3,1000,,107884004
2017,101522320,19,130,,107884150
2017,101522369,8,2,,107884219
2017,101522430,7,10,,107884310
2017,101522430,20,10,,107884316
2017,101522430,6,15,,107884308
2017,101522430,56,385,,107884305
2017,101522519,51,0,,107884444
2017,101522519,25,890,,107884434
2017,101522519,22,0,,107884441
2017,101522519,20,40,,107884440
2017,101522624,22,0,,107884580
2017,101522790,19,653,,107884798
2017,101522999,9,0,,107885082
2017,101523521,24,3000,,107885765
2017,101524543,63,100,,107887104
2017,101524565,3,300,,107887137
2017,101526794,63,500,,107890093
2017,101526794,8,50,,107890100
2017,101526794,12,200,,107890099
2017,101526794,26,400,,107890097
2017,101527435,63,325,,107890919
2017,101527435,36,392,,107890918
2017,101527982,4,100,,107891667
2017,101528297,20,600,,107892072
2017,101528746,36,6000,,107892650
2017,101528780,63,100,,107892688
2017,101528859,13,400,,107892789
2017,101529086,35,300,,107893065
2017,101529134,36,820,,107893135
2017,101529567,63,350,,107893778
2017,103267043,10,,,110147168
2017,102285687,10,,,108875924
2017,102285687,11,50,,108875932
2017,102285770,10,,,108876046
2017,101520030,25,100,,107881017
2017,101520013,61,700,,107880989
2017,101520023,25,100,30-NOV-17,107881004
2017,101520802,11,1,,107882072
2017,101520935,63,270,,107882255
2017,101521164,10,,,107882562
2017,101521377,10,,,107882871
2017,101521581,10,50,,107883139
2017,101521658,11,1,,107883239
2017,101521743,61,600,,107883346
2017,101522051,36,246,24-OCT-17,107883769
2017,101522058,36,911,,107883779
2017,101522131,3,2400,,107883883
2017,101522148,16,785,,107883906
2017,101522241,7,100,,107884040
2017,101522241,26,100,,107884043
2017,101522241,20,300,,107884036
2017,101522334,3,2501,06-NOV-17,107884169
